,name,appid,developers,publishers,price,is_free,platforms,release_date,required_age,n_languages,n_packages,has_website,achievements,categories,genres,positive_ratings,negative_ratings,owners,average_playtime,median_playtime,ccu,tags
40,Unstoppable Gorg,18120,Futuremark,Futuremark,$9.99 ,0,Windows; Mac,1/19/2012,0,2,1,0,30,Single-player; Steam Achievements; Steam Cloud; Steam Leaderboards,Action; Casual; Indie; Strategy,198,49,50000 - 100000,112,112,1,Tower Defense; Strategy; Indie; Casual; Action; Sci-fi; Aliens; Space; Touch-Friendly
41,Spectraball,18300,Shorebound Studios,Shorebound Studios,$4.99 ,0,Windows; Mac; Linux,10/20/2008,0,1,1,1,14,Single-player; Steam Achievements; Steam Trading Cards; Partial Controller Support,Casual; Indie,306,106,50000 - 100000,137,160,1,Casual; Indie; Puzzle; Platformer; 3D Platformer
42,Defense Grid: The Awakening,18500,Hidden Path Entertainment,Hidden Path Entertainment,$9.99 ,0,Windows,12/8/2008,0,5,2,1,87,Single-player; Steam Achievements; Full controller support; Steam Trading Cards; Remote Play on TV,Indie; Strategy,3591,127,500000 - 1000000,1227,1340,87,Tower Defense; Strategy; Sci-fi; Singleplayer; Indie; Aliens; Futuristic; Addictive; Masterpiece; Touch-Friendly; Replay Value; Adventure; Action; Controller
43,Mayhem Intergalactic,18600,Inventive Dingo,Inventive Dingo,$9.99 ,0,Windows,1/22/2009,0,1,1,1,21,Single-player; Multi-player; Steam Achievements,Indie; Strategy,13,11,0 - 20000,245,245,1,Indie; Strategy
44,Zero Gear,18820,Brian Cronin,Brian Cronin,$4.99 ,0,Windows,1/12/2010,0,1,2,0,45,Single-player; Multi-player; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud; Stats,Action; Indie; Racing; Sports,671,182,100000 - 200000,213,246,0,Racing; Indie; Action; Sports; Multiplayer; Casual
45,Tank Universal,19200,Dialogue Design,Meridian4,$4.99 ,0,Windows,8/21/2008,0,2,1,1,27,Single-player; Steam Achievements,Action; Indie,233,190,100000 - 200000,24,36,0,Action; Indie; Tanks; Singleplayer; Retro; Atmospheric; Casual; Story Rich; Great Soundtrack; First-Person; FPS
46,Space Ark,19320,Strawdog Studios Ltd,Bounce Entertainment ,$4.99 ,0,Windows,3/16/2012,0,1,1,1,11,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Stats; Steam Leaderboards,Action; Indie; Casual,6,8,0 - 20000,0,0,0,Action; Casual; Indie
47,Eternity's Child,19500,Luc Bernard; SilverSphereStudios,Silver Sphere Studios,$4.99 ,0,Windows,7/31/2008,0,1,1,0,4,Single-player; Steam Achievements; Partial Controller Support; Includes level editor,Adventure; Indie,17,52,0 - 20000,0,0,0,Indie; Adventure; Platformer
48,Galactic Bowling,20200,Perpetual FX Creative,Perpetual FX Creative,$19.99 ,0,Windows,10/21/2008,0,1,1,1,30,Single-player; Multi-player; Steam Achievements; Partial Controller Support,Indie; Casual; Sports,6,10,0 - 20000,0,0,0,Indie; Casual; Sports; Bowling
49,Starscape,20700,Moonpod,Moonpod,$7.99 ,0,Windows,11/3/2008,0,1,1,1,18,Single-player; Steam Achievements,Action; Indie; Strategy,55,16,20000 - 50000,152,152,1,Action; Indie; Strategy; Space; Top-Down
50,Mr. Robot,20710,Moonpod,Moonpod,$7.99 ,0,Windows,11/3/2008,0,1,1,1,13,Single-player; Steam Achievements,Action; Indie; Strategy,61,11,20000 - 50000,0,0,0,Indie; Strategy; Action; Puzzle; Sci-fi; RPG; Robots; Isometric
51,Shatter,20820,Sidhe,PikPok,$9.99 ,0,Windows; Mac; Linux,3/15/2010,0,5,2,1,30,Single-player; Multi-player; Shared/Split Screen; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards; Remote Play Together,Action; Indie,1010,67,200000 - 500000,93,151,1,Great Soundtrack; Indie; Arcade; Action; Local Co-Op; Fast-Paced; Singleplayer; Co-op; Psychedelic; Stylized; Sci-fi; Casual; Rhythm; Space; Local Multiplayer; Adventure
52,World of Goo,22000,2D BOY,2D BOY ,$14.99 ,0,Windows; Mac; Linux,10/13/2008,0,1,1,1,8,Single-player; Steam Achievements,Indie,3751,254,1000000 - 2000000,164,114,14,Puzzle; Indie; Physics; Singleplayer; Great Soundtrack; Casual; 2D; Comedy; Masterpiece; Cute; Building; Funny; Atmospheric; Satire; Classic; Touch-Friendly; Strategy; Surreal; Difficult; Story Rich
53,Mount & Blade,22100,TaleWorlds Entertainment,TaleWorlds Entertainment,$9.99 ,0,Windows,11/3/2008,0,6,1,1,0,Single-player; Steam Trading Cards; Includes level editor,Indie; RPG,3761,321,1000000 - 2000000,242,101,109,RPG; Medieval; Open World; Strategy; Sandbox; Action; Singleplayer; Adventure; Third Person; Multiplayer; Moddable; Historical; Action RPG; Indie; Character Customization; First-Person; Simulation; Replay Value; Masterpiece; Fantasy
54,Penumbra: Black Plague Gold Edition,22120,Frictional Games,Frictional Games,$9.99 ,1,Windows; Mac; Linux,1/23/2009,17,1,1,1,0,Single-player; Captions available,Nudity; Gore; Action; Adventure; Indie,1546,96,200000 - 500000,227,228,8,Horror; Adventure; First-Person; Psychological Horror; Stealth; Story Rich; Atmospheric; Singleplayer; Indie; Survival Horror; Lovecraftian; Puzzle; Dark; Survival; Action; Nudity; Great Soundtrack; Gore; Classic; Multiplayer
55,Penumbra: Requiem,22140,Frictional Games,Frictional Games,0,0,Windows; Mac; Linux,,0,1,0,1,0,Single-player; Captions available,Adventure; Indie,265,249,0 - 20000,131,131,3,Adventure; Indie; Horror; Puzzle; Atmospheric; First-Person
56,Penumbra Overture,22180,Frictional Games,Frictional Games,$9.99 ,1,Windows; Mac; Linux,3/6/2009,17,1,1,1,0,Single-player; Captions available,Action; Adventure; Indie,1878,199,500000 - 1000000,254,371,10,Horror; Adventure; First-Person; Survival Horror; Indie; Psychological Horror; Atmospheric; Singleplayer; Story Rich; Stealth; Dark; Lovecraftian; Puzzle; Survival; Action; Masterpiece
57,Zeno Clash,22200,ACE Team,ACE Team,$9.99 ,0,Windows,4/21/2009,0,6,1,1,22,Single-player; Steam Achievements; Steam Trading Cards; Steam Cloud,Action; Indie,2053,377,200000 - 500000,133,110,3,Action; Surreal; Indie; Beat 'em up; Fighting; First-Person; FPS; Short; Singleplayer; Adventure; Fantasy; Atmospheric; Beautiful; Epic; Story Rich; Masterpiece
58,Rock of Ages,22230,ACE Team,SEGA,$9.99 ,0,Windows,9/7/2011,0,7,1,1,19,Single-player; Multi-player; PvP; Online PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen; Steam Achievements; Steam Trading Cards; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Indie; Racing; Strategy,2696,252,200000 - 500000,72,82,5,Comedy; Strategy; Indie; Action; Tower Defense; Racing; Historical; Multiplayer; Funny; Local Multiplayer; Bowling; Singleplayer; Destruction; Casual; Split Screen
59,Fluttabyes,23150,Red Chain Games Ltd.,Red Chain Games Ltd.,$1.99 ,0,Windows,4/20/2010,0,5,1,1,40,Single-player; Steam Achievements,Casual; Indie,14,5,0 - 20000,0,0,0,Indie; Casual; Puzzle
60,Depths of Peril,23600,Soldak Entertainment,Soldak Entertainment,$9.99 ,0,Windows; Mac; Linux,11/23/2010,0,1,1,1,0,Single-player,Indie; RPG; Strategy,78,26,20000 - 50000,0,0,1,RPG; Strategy; Indie; Action RPG; Singleplayer
61,Overgrowth,25000,Wolfire Games,Wolfire Games,$29.99 ,0,Windows; Mac; Linux,10/16/2017,0,1,1,1,0,Single-player; Multi-player; PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen Co-op; Steam Workshop; Partial Controller Support; Includes level editor; Remote Play Together,Action; Indie,3744,1381,500000 - 1000000,233,340,25,Parkour; Action; Indie; Martial Arts; Sandbox; Fighting; Fast-Paced; Moddable; Combat; Open World; Physics; Ninja; Gore; Third Person; Multiplayer; Singleplayer; Difficult; Funny; Adventure; Local Co-Op
62,Lugaru HD,25010,Wolfire Games,Wolfire Games,$9.99 ,0,Windows; Mac; Linux,10/8/2010,0,1,1,1,0,Single-player,Action,343,98,100000 - 200000,6,6,1,3D Fighter; Action; Indie; Martial Arts; Parkour; Beat 'em up; Singleplayer; Fighting; Difficult; Adventure; Open World; Atmospheric; Sandbox; RPG; Swordplay; 3D; 6DOF
63,Cricket Revolution,25500,Mindstorm Studios,Mindstorm Studios,$2.99 ,0,Windows,10/28/2009,0,1,1,1,0,Single-player; Multi-player,Indie; Simulation; Sports,64,53,0 - 20000,863,863,0,Sports; Indie; Simulation
64,Eschalon: Book I,25600,Basilisk Games,Basilisk Games,0,1,Windows; Mac; Linux,2/10/2009,0,1,1,1,0,Single-player,Indie; RPG,191,30,50000 - 100000,497,497,3,RPG; Indie; Isometric; Turn-Based; Fantasy; 2D; Singleplayer; Old School; CRPG; Exploration
65,Eschalon: Book II,25620,Basilisk Games,Basilisk Games,$5.99 ,0,Windows; Mac; Linux,7/12/2010,0,1,2,1,0,Single-player,Indie; RPG,64,16,20000 - 50000,0,0,4,RPG; Indie; Isometric; Turn-Based; Fantasy; 2D
66,Madballs in Babo:Invasion,25700,Playbrains,Playbrains,$4.99 ,0,Windows; Mac,9/17/2009,0,8,2,1,17,Single-player; Multi-player; PvP; Online PvP; Co-op; Online Co-op; Cross-Platform Multiplayer; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards,Action; Casual; Indie,207,39,50000 - 100000,373,373,0,Indie; Action; Casual; Shooter; Top-Down; Co-op; Multiplayer
67,The Maw,26000,Twisted Pixel Games,Twisted Pixel Games,$9.99 ,0,Windows,3/9/2009,0,8,2,1,15,Single-player; Steam Achievements,Action; Indie,167,38,50000 - 100000,794,797,0,Indie; Action; Platformer; Cute; Adventure; 3D Platformer; Puzzle; Casual; Comedy
68,Drug Wars,26300,Paleo Entertainment,Paleo Entertainment,$4.99 ,0,Windows,3/17/2009,17,1,1,1,0,Single-player; Multi-player,Action; Indie,13,31,0 - 20000,0,0,0,Action; Indie
69,Crayon Physics Deluxe,26900,Kloonigames,Kloonigames,$19.99 ,0,Windows; Mac,5/6/2009,0,1,1,1,0,Single-player,Casual; Indie,727,116,500000 - 1000000,16,22,3,Puzzle; Indie; Casual; Physics; Family Friendly; Singleplayer; Touch-Friendly; 2D; Cute; Relaxing; Sandbox; Level Editor; Simulation; Great Soundtrack; Hand-drawn
70,The Path,27000,Tale of Tales,Tale of Tales,$9.99 ,0,Windows; Mac,3/18/2009,0,9,3,1,0,Single-player; Steam Trading Cards,Adventure; Indie,532,176,50000 - 100000,55,55,2,Walking Simulator; Indie; Horror; Exploration; Adventure; Female Protagonist; Surreal; Experimental; Atmospheric; Singleplayer; Gothic; Dark; Story Rich; Third Person; Psychological Horror; Great Soundtrack; Short; Experience; Masterpiece
71,The Graveyard,27020,Tale of Tales,Tale of Tales,$4.99 ,0,Windows; Mac; Linux,3/9/2009,0,1,3,1,0,Single-player,Indie; Simulation,322,204,20000 - 50000,0,0,2,Walking Simulator; Indie; Short; Female Protagonist; Atmospheric; Simulation; Memes; Horror; Singleplayer; Anime; Psychological; Psychological Horror
72,Fatale,27050,Tale of Tales,Tale of Tales,$6.99 ,0,Windows; Mac,11/4/2009,0,1,3,1,0,Single-player,Adventure; Casual; Indie,55,42,0 - 20000,0,0,0,Indie; Adventure; Casual; Short; Psychological
73,Dangerous High School Girls in Trouble!™,27400,Mousechief,Mousechief,$19.99 ,0,Windows; Mac,2/23/2009,0,1,1,1,0,Single-player,RPG; Indie; Casual,117,68,50000 - 100000,802,802,1,Indie; RPG; Casual; Female Protagonist; Board Game; Singleplayer; Minigames
74,Mevo and The Grooveriders,27600,Red Rocket Games,Red Rocket Games,$9.99 ,0,Windows,3/20/2009,0,1,1,0,40,Single-player; Steam Achievements,Indie; Casual,23,2,0 - 20000,0,0,0,Indie; Casual; Music; Rhythm
75,Space Giraffe,27800,Llamasoft LTD,Llamasoft LTD,$9.99 ,0,Windows,3/19/2009,0,7,1,1,0,Single-player,Indie,39,17,20000 - 50000,0,0,0,Indie; Psychedelic; Arcade; Score Attack; Abstract; Shoot 'Em Up
76,Gridrunner Revolution,27810,Llamasoft LTD,Llamasoft LTD,$9.99 ,0,Windows,2/22/2010,0,4,1,1,0,Single-player; Partial Controller Support,Indie,38,10,20000 - 50000,0,0,0,Arcade; Indie; Psychedelic
77,Dead Horde,27940,DnS Development,DnS Development,$5.99 ,0,Windows,7/27/2011,0,4,2,1,28,Single-player; Multi-player; Co-op; Shared/Split Screen; Steam Achievements; Partial Controller Support; Steam Cloud; Steam Leaderboards; Remote Play Together,Action; Indie,212,408,50000 - 100000,141,141,1,Zombies; Action; Indie; Survival; Multiplayer; Singleplayer; Top-Down Shooter; Horror
78,Yumsters 2: Around the World,29120,KranX Productions,KranX Productions,$4.99 ,0,Windows,11/12/2009,0,1,2,0,0,Single-player,Indie; Casual,54,26,20000 - 50000,601,601,0,Casual; Indie
